Procedure Code Category,ICD-10 CODES,Procedure Code Descriptions
CARD,0W9D00Z,"Drainage of Pericardial Cavity with Drainage Device, Open Approach"
CARD,0W9D0ZX,"Drainage of Pericardial Cavity, Open Approach, Diagnostic"
CARD,0W9D0ZZ,"Drainage of Pericardial Cavity, Open Approach"
CARD,0W9D40Z,"Drainage of Pericardial Cavity with Drainage Device, Percutaneous Endoscopic Approach"
CARD,0W9D4ZX,"Drainage of Pericardial Cavity, Percutaneous Endoscopic Approach, Diagnostic"
CARD,0W9D4ZZ,"Drainage of Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WCD0ZZ,"Extirpation of Matter from Pericardial Cavity, Open Approach"
CARD,0WCD4ZZ,"Extirpation of Matter from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WFD0ZZ,"Fragmentation in Pericardial Cavity, Open Approach"
CARD,0WFD4ZZ,"Fragmentation in Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WHD01Z,"Insertion of Radioactive Element into Pericardial Cavity, Open Approach"
CARD,0WHD03Z,"Insertion of Infusion Device into Pericardial Cavity, Open Approach"
CARD,0WHD0YZ,"Insertion of Other Device into Pericardial Cavity, Open Approach"
CARD,0WHD41Z,"Insertion of Radioactive Element into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WHD43Z,"Insertion of Infusion Device into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WHD4YZ,"Insertion of Other Device into Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WPD00Z,"Removal of Drainage Device from Pericardial Cavity, Open Approach"
CARD,0WPD01Z,"Removal of Radioactive Element from Pericardial Cavity, Open Approach"
CARD,0WPD03Z,"Removal of Infusion Device from Pericardial Cavity, Open Approach"
CARD,0WPD0YZ,"Removal of Other Device from Pericardial Cavity, Open Approach"
CARD,0WPD40Z,"Removal of Drainage Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WPD41Z,"Removal of Radioactive Element from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WPD43Z,"Removal of Infusion Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WPD4YZ,"Removal of Other Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WWD00Z,"Revision of Drainage Device in Pericardial Cavity, Open Approach"
CARD,0WWD01Z,"Revision of Radioactive Element in Pericardial Cavity, Open Approach"
CARD,0WWD03Z,"Revision of Infusion Device in Pericardial Cavity, Open Approach"
CARD,0WWD0YZ,"Revision of Other Device in Pericardial Cavity, Open Approach"
CARD,0WWD40Z,"Revision of Drainage Device in Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WWD41Z,"Revision of Radioactive Element in Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WWD43Z,"Revision of Infusion Device in Pericardial Cavity, Percutaneous Endoscopic Approach"
CARD,0WWD4YZ,"Revision of Other Device in Pericardial Cavity, Percutaneous Endoscopic Approach"
CBGB,0210093,"Bypass Coronary Artery, One Site from Coronary Artery with Autologous Venous Tissue, Open Approach"
CBGB,0210098,"Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,0210099,"Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,021009C,"Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Venous Tissue, Open Approach"
CBGB,021009F,"Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Venous Tissue, Open Approach"
CBGB,021009W,"Bypass Coronary Artery, One Site from Aorta with Autologous Venous Tissue, Open Approach"
CBGB,02100A3,"Bypass Coronary Artery, One Site from Coronary Artery with Autologous Arterial Tissue, Open Approach"
CBGB,02100AF,"Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Arterial Tissue, Open Approach"
CBGB,02100AW,"Bypass Coronary Artery, One Site from Aorta with Autologous Arterial Tissue, Open Approach"
CBGB,02100JF,"Bypass Coronary Artery, One Site from Abdominal Artery with Synthetic Substitute, Open Approach"
CBGB,0210493,"Bypass Coronary Artery, One Site from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0210498,"Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0210499,"Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021049C,"Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021049F,"Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021049W,"Bypass Coronary Artery, One Site from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,02104A3,"Bypass Coronary Artery, One Site from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02104AW,"Bypass Coronary Artery, One Site from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,0211093,"Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Venous Tissue, Open Approach"
CBGB,0211098,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,0211099,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,021109C,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Venous Tissue, Open Approach"
CBGB,021109F,"Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Venous Tissue, Open Approach"
CBGB,021109W,"Bypass Coronary Artery, Two Sites from Aorta with Autologous Venous Tissue, Open Approach"
CBGB,02110A3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Arterial Tissue, Open Approach"
CBGB,02110A8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGB,02110AW,"Bypass Coronary Artery, Two Sites from Aorta with Autologous Arterial Tissue, Open Approach"
CBGB,0211493,"Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0211498,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0211499,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021149C,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021149F,"Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021149W,"Bypass Coronary Artery, Two Sites from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,02114A3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02114AW,"Bypass Coronary Artery, Two Sites from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,0212093,"Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Venous Tissue, Open Approach"
CBGB,0212098,"Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,0212099,"Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,021209C,"Bypass Coronary Artery, Three Sites from Thoracic Artery with Autologous Venous Tissue, Open Approach"
CBGB,021209F,"Bypass Coronary Artery, Three Sites from Abdominal Artery with Autologous Venous Tissue, Open Approach"
CBGB,021209W,"Bypass Coronary Artery, Three Sites from Aorta with Autologous Venous Tissue, Open Approach"
CBGB,02120A3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Arterial Tissue, Open Approach"
CBGB,02120AW,"Bypass Coronary Artery, Three Sites from Aorta with Autologous Arterial Tissue, Open Approach"
CBGB,02120KW,"Bypass Coronary Artery, Three Sites from Aorta with Nonautologous Tissue Substitute, Open Approach"
CBGB,0212493,"Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0212498,"Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0212499,"Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021249F,"Bypass Coronary Artery, Three Sites from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021249W,"Bypass Coronary Artery, Three Sites from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,02124A3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02124AF,"Bypass Coronary Artery, Three Sites from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02124AW,"Bypass Coronary Artery, Three Sites from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02124Z3,"Bypass Coronary Artery, Three Sites from Coronary Artery, Percutaneous Endoscopic Approach"
CBGB,0213093,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Autologous Venous Tissue, Open Approach"
CBGB,0213098,"Bypass Coronary Artery, Four or More Sites from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,0213099,"Bypass Coronary Artery, Four or More Sites from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
CBGB,021309W,"Bypass Coronary Artery, Four or More Sites from Aorta with Autologous Venous Tissue, Open Approach"
CBGB,02130A3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Autologous Arterial Tissue, Open Approach"
CBGB,02130AW,"Bypass Coronary Artery, Four or More Sites from Aorta with Autologous Arterial Tissue, Open Approach"
CBGB,0213493,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,0213498,"Bypass Coronary Artery, Four or More Sites from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic  Approach"
CBGB,0213499,"Bypass Coronary Artery, Four or More Sites from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic  Approach"
CBGB,021349F,"Bypass Coronary Artery, Four or More Sites from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021349W,"Bypass Coronary Artery, Four or More Sites from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,02134A3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,02134AW,"Bypass Coronary Artery, Four or More Sites from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGB,021L09P,"Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
CBGB,021L09Q,"Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
CBGB,021L09R,"Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
CBGB,021L49P,"Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021L49Q,"Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGB,021L49R,"Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
CBGC,02100A8,"Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGC,02100A9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGC,02100AC,"Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Arterial Tissue, Open Approach"
CBGC,02100J3,"Bypass Coronary Artery, One Site from Coronary Artery with Synthetic Substitute, Open Approach"
CBGC,02100J8,"Bypass Coronary Artery, One Site from Right Internal Mammary with Synthetic Substitute, Open Approach"
CBGC,02100J9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Synthetic Substitute, Open Approach"
CBGC,02100JC,"Bypass Coronary Artery, One Site from Thoracic Artery with Synthetic Substitute, Open Approach"
CBGC,02100JW,"Bypass Coronary Artery, One Site from Aorta with Synthetic Substitute, Open Approach"
CBGC,02100K3,"Bypass Coronary Artery, One Site from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02100K8,"Bypass Coronary Artery, One Site from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
CBGC,02100K9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
CBGC,02100KC,"Bypass Coronary Artery, One Site from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02100KW,"Bypass Coronary Artery, One Site from Aorta with Nonautologous Tissue Substitute, Open Approach"
CBGC,02100Z3,"Bypass Coronary Artery, One Site from Coronary Artery, Open Approach"
CBGC,02100Z8,"Bypass Coronary Artery, One Site from Right Internal Mammary, Open Approach"
CBGC,02100Z9,"Bypass Coronary Artery, One Site from Left Internal Mammary, Open Approach"
CBGC,02100ZC,"Bypass Coronary Artery, One Site from Thoracic Artery, Open Approach"
CBGC,02104A9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02104AC,"Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02104AF,"Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02104J3,"Bypass Coronary Artery, One Site from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02104J8,"Bypass Coronary Artery, One Site from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02104J9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02104JC,"Bypass Coronary Artery, One Site from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02104JW,"Bypass Coronary Artery, One Site from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02104K3,"Bypass Coronary Artery, One Site from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02104K8,"Bypass Coronary Artery, One Site from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02104K9,"Bypass Coronary Artery, One Site from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02104KC,"Bypass Coronary Artery, One Site from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02104KW,"Bypass Coronary Artery, One Site from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02104Z3,"Bypass Coronary Artery, One Site from Coronary Artery, Percutaneous Endoscopic Approach"
CBGC,02104Z8,"Bypass Coronary Artery, One Site from Right Internal Mammary, Percutaneous Endoscopic Approach"
CBGC,02104Z9,"Bypass Coronary Artery, One Site from Left Internal Mammary, Percutaneous Endoscopic Approach"
CBGC,02104ZC,"Bypass Coronary Artery, One Site from Thoracic Artery, Percutaneous Endoscopic Approach"
CBGC,02110A9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGC,02110AC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Arterial Tissue, Open Approach"
CBGC,02110AF,"Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Arterial Tissue, Open Approach"
CBGC,02110J3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Synthetic Substitute, Open Approach"
CBGC,02110J8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Synthetic Substitute, Open Approach"
CBGC,02110J9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Synthetic Substitute, Open Approach"
CBGC,02110JC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Synthetic Substitute, Open Approach"
CBGC,02110JW,"Bypass Coronary Artery, Two Sites from Aorta with Synthetic Substitute, Open Approach"
CBGC,02110K3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02110K8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
CBGC,02110K9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
CBGC,02110KC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02110KW,"Bypass Coronary Artery, Two Sites from Aorta with Nonautologous Tissue Substitute, Open Approach"
CBGC,02110Z3,"Bypass Coronary Artery, Two Sites from Coronary Artery, Open Approach"
CBGC,02110Z8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary, Open Approach"
CBGC,02110Z9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary, Open Approach"
CBGC,02110ZC,"Bypass Coronary Artery, Two Sites from Thoracic Artery, Open Approach"
CBGC,02114A8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02114A9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02114AC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02114AF,"Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
CBGC,02114J3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02114J8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02114J9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02114JC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02114JW,"Bypass Coronary Artery, Two Sites from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02114K3,"Bypass Coronary Artery, Two Sites from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02114K8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02114K9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02114KC,"Bypass Coronary Artery, Two Sites from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02114KW,"Bypass Coronary Artery, Two Sites from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02114Z3,"Bypass Coronary Artery, Two Sites from Coronary Artery, Percutaneous Endoscopic Approach"
CBGC,02114Z8,"Bypass Coronary Artery, Two Sites from Right Internal Mammary, Percutaneous Endoscopic Approach"
CBGC,02114Z9,"Bypass Coronary Artery, Two Sites from Left Internal Mammary, Percutaneous Endoscopic Approach"
CBGC,02114ZC,"Bypass Coronary Artery, Two Sites from Thoracic Artery, Percutaneous Endoscopic Approach"
CBGC,02120A8,"Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGC,02120A9,"Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
CBGC,02120J3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Synthetic Substitute, Open Approach"
CBGC,02120JW,"Bypass Coronary Artery, Three Sites from Aorta with Synthetic Substitute, Open Approach"
CBGC,02120K3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02120Z3,"Bypass Coronary Artery, Three Sites from Coronary Artery, Open Approach"
CBGC,02124J3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02124JW,"Bypass Coronary Artery, Three Sites from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02124K3,"Bypass Coronary Artery, Three Sites from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02124KW,"Bypass Coronary Artery, Three Sites from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02130J3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Synthetic Substitute, Open Approach"
CBGC,02130JW,"Bypass Coronary Artery, Four or More Sites from Aorta with Synthetic Substitute, Open Approach"
CBGC,02130K3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
CBGC,02130KW,"Bypass Coronary Artery, Four or More Sites from Aorta with Nonautologous Tissue Substitute, Open Approach"
CBGC,02130Z3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery, Open Approach"
CBGC,02134J3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02134JW,"Bypass Coronary Artery, Four or More Sites from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
CBGC,02134K3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02134KW,"Bypass Coronary Artery, Four or More Sites from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CBGC,02134Z3,"Bypass Coronary Artery, Four or More Sites from Coronary Artery, Percutaneous Endoscopic Approach"
CEA,03CH0ZZ,"Extirpation of Matter from Right Common Carotid Artery, Open Approach"
CEA,03CH4ZZ,"Extirpation of Matter from Right Common Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CJ0ZZ,"Extirpation of Matter from Left Common Carotid Artery, Open Approach"
CEA,03CJ4ZZ,"Extirpation of Matter from Left Common Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CK0ZZ,"Extirpation of Matter from Right Internal Carotid Artery, Open Approach"
CEA,03CK4ZZ,"Extirpation of Matter from Right Internal Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CL0ZZ,"Extirpation of Matter from Left Internal Carotid Artery, Open Approach"
CEA,03CL4ZZ,"Extirpation of Matter from Left Internal Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CM0ZZ,"Extirpation of Matter from Right External Carotid Artery, Open Approach"
CEA,03CM4ZZ,"Extirpation of Matter from Right External Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CN0ZZ,"Extirpation of Matter from Left External Carotid Artery, Open Approach"
CEA,03CN4ZZ,"Extirpation of Matter from Left External Carotid Artery, Percutaneous Endoscopic Approach"
CEA,03CP0ZZ,"Extirpation of Matter from Right Vertebral Artery, Open Approach"
CEA,03CP4ZZ,"Extirpation of Matter from Right Vertebral Artery, Percutaneous Endoscopic Approach"
CEA,03CQ0ZZ,"Extirpation of Matter from Left Vertebral Artery, Open Approach"
CEA,03CQ4ZZ,"Extirpation of Matter from Left Vertebral Artery, Percutaneous Endoscopic Approach"
CEA,05CM4ZZ,"Extirpation of Matter from Right Internal Jugular Vein, Percutaneous Endoscopic Approach"
CEA,05CN0ZZ,"Extirpation of Matter from Left Internal Jugular Vein, Open Approach"
CEA,05CN4ZZ,"Extirpation of Matter from Left Internal Jugular Vein, Percutaneous Endoscopic Approach"
CEA,05UM0JZ,"Supplement Right Internal Jugular Vein with Synthetic Substitute, Open Approach"
CEA,05UM0KZ,"Supplement Right Internal Jugular Vein with Nonautologous Tissue Substitute, Open Approach"
CEA,05UM4JZ,"Supplement Right Internal Jugular Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
CEA,05UM4KZ,"Supplement Right Internal Jugular Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CEA,05UN07Z,"Supplement Left Internal Jugular Vein with Autologous Tissue Substitute, Open Approach"
CEA,05UN0JZ,"Supplement Left Internal Jugular Vein with Synthetic Substitute, Open Approach"
CEA,05UN0KZ,"Supplement Left Internal Jugular Vein with Nonautologous Tissue Substitute, Open Approach"
CEA,05UN4JZ,"Supplement Left Internal Jugular Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
CEA,05UN4KZ,"Supplement Left Internal Jugular Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
CHOL,0F140D4,"Bypass Gallbladder to Stomach with Intraluminal Device, Open Approach"
CHOL,0F140DB,"Bypass Gallbladder to Small Intestine with Intraluminal Device, Open Approach"
CHOL,0F140Z4,"Bypass Gallbladder to Stomach, Open Approach"
CHOL,0F140ZB,"Bypass Gallbladder to Small Intestine, Open Approach"
CHOL,0F144D4,"Bypass Gallbladder to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach"
CHOL,0F144DB,"Bypass Gallbladder to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach"
CHOL,0F144Z4,"Bypass Gallbladder to Stomach, Percutaneous Endoscopic Approach"
CHOL,0F144ZB,"Bypass Gallbladder to Small Intestine, Percutaneous Endoscopic Approach"
CHOL,0F540ZZ,"Destruction of Gallbladder, Open Approach"
CHOL,0F544ZZ,"Destruction of Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0F9400Z,"Drainage of Gallbladder with Drainage Device, Open Approach"
CHOL,0F940ZX,"Drainage of Gallbladder, Open Approach, Diagnostic"
CHOL,0F940ZZ,"Drainage of Gallbladder, Open Approach"
CHOL,0F9440Z,"Drainage of Gallbladder with Drainage Device, Percutaneous Endoscopic Approach"
CHOL,0F944ZX,"Drainage of Gallbladder, Percutaneous Endoscopic Approach, Diagnostic"
CHOL,0F944ZZ,"Drainage of Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FB44ZZ,"Excision of Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FC40ZZ,"Extirpation of Matter from Gallbladder, Open Approach"
CHOL,0FC44ZZ,"Extirpation of Matter from Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FF40ZZ,"Fragmentation in Gallbladder, Open Approach"
CHOL,0FF44ZZ,"Fragmentation in Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FH402Z,"Insertion of Monitoring Device into Gallbladder, Open Approach"
CHOL,0FH442Z,"Insertion of Monitoring Device into Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FM40ZZ,"Reattachment of Gallbladder, Open Approach"
CHOL,0FP400Z,"Removal of Drainage Device from Gallbladder, Open Approach"
CHOL,0FP402Z,"Removal of Monitoring Device from Gallbladder, Open Approach"
CHOL,0FP403Z,"Removal of Infusion Device from Gallbladder, Open Approach"
CHOL,0FP40DZ,"Removal of Intraluminal Device from Gallbladder, Open Approach"
CHOL,0FP440Z,"Removal of Drainage Device from Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FP442Z,"Removal of Monitoring Device from Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FP443Z,"Removal of Infusion Device from Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FP44DZ,"Removal of Intraluminal Device from Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FS40ZZ,"Reposition Gallbladder, Open Approach"
CHOL,0FS44ZZ,"Reposition Gallbladder, Percutaneous Endoscopic Approach"
CHOL,0FT40ZZ,"Resection of Gallbladder, Open Approach"
